ticket_id,department,issue_category,date_reported,status
TCKT-0042,Sales,Missing Sales Data,2024-09-10,Resolved
TCKT-0043,HR,Profile Update Request,2025-01-23,Unresolved
TCKT-0044,Sales,CRM Login Issue,2025-03-01,Resolved
TCKT-0045,HR,Leave Balance Issue,2025-06-30,Unresolved
TCKT-0046,Sales,Missing Sales Data,2025-07-27,Unresolved
TCKT-0047,Finance,Refund Request,2025-06-30,Unresolved
TCKT-0048,Finance,Payment Failure,2025-06-11,Resolved
TCKT-0049,Operations,Shipping Issue,2024-09-18,Resolved
TCKT-0050,HR,Leave Balance Issue,2025-04-02,Resolved
TCKT-0051,IT,Password Reset,2025-03-11,Resolved
TCKT-0052,HR,Profile Update Request,2025-07-28,Resolved
TCKT-0053,Sales,CRM Login Issue,2024-10-24,Unresolved
TCKT-0054,Operations,Order Delay,2025-02-10,Unresolved
TCKT-0055,Operations,Inventory Mismatch,2025-03-08,Unresolved
TCKT-0056,Operations,Inventory Mismatch,2024-09-16,Unresolved
TCKT-0057,Operations,Inventory Mismatch,2024-09-05,Unresolved
TCKT-0058,Sales,CRM Login Issue,2025-07-09,Resolved
TCKT-0059,HR,Leave Balance Issue,2025-03-06,Resolved
TCKT-0060,Finance,Refund Request,2025-02-15,Resolved
TCKT-0061,Operations,Inventory Mismatch,2024-12-04,Resolved
TCKT-0062,Sales,Lead Assignment Problem,2025-04-19,Unresolved
TCKT-0063,Operations,Shipping Issue,2025-02-12,Resolved
TCKT-0064,Sales,Lead Assignment Problem,2025-03-25,Resolved
TCKT-0065,Sales,Missing Sales Data,2025-04-12,Unresolved
TCKT-0066,Operations,Order Delay,2024-10-23,Resolved
TCKT-0067,Finance,Refund Request,2025-06-29,Unresolved
TCKT-0068,Finance,Refund Request,2025-08-07,Resolved
TCKT-0069,Finance,Refund Request,2025-05-12,Resolved
TCKT-0070,HR,Leave Balance Issue,2025-07-19,Resolved
TCKT-0071,Sales,Missing Sales Data,2025-04-14,Resolved
TCKT-0072,IT,Software Crash,2025-01-07,Resolved
TCKT-0073,IT,Printer Not Working,2024-10-05,Resolved
TCKT-0074,Operations,Shipping Issue,2024-10-31,Resolved
TCKT-0075,Sales,Lead Assignment Problem,2025-01-19,Resolved
TCKT-0076,HR,Payslip Not Accessible,2025-02-10,Resolved
TCKT-0077,Finance,Incorrect Billing,2024-12-10,Resolved
TCKT-0078,Sales,Lead Assignment Problem,2024-12-01,Resolved
TCKT-0079,IT,Password Reset,2025-02-21,Resolved
TCKT-0080,HR,Payslip Not Accessible,2024-08-29,Unresolved
TCKT-0081,Operations,Order Delay,2024-08-13,Resolved
TCKT-0082,HR,Profile Update Request,2025-08-02,Resolved
TCKT-0083,HR,Payslip Not Accessible,2024-12-26,Unresolved
TCKT-0084,IT,Printer Not Working,2025-06-30,Resolved
TCKT-0085,Operations,Order Delay,2025-04-04,Resolved
TCKT-0086,Sales,Lead Assignment Problem,2024-09-27,Unresolved
TCKT-0087,Finance,Payment Failure,2024-08-25,Unresolved
TCKT-0088,IT,Software Crash,2025-05-25,Unresolved
TCKT-0089,Finance,Refund Request,2025-07-07,Unresolved
TCKT-0090,Finance,Refund Request,2025-03-27,Resolved
TCKT-0091,Finance,Incorrect Billing,2025-01-20,Resolved
TCKT-0092,Finance,Refund Request,2025-03-11,Unresolved
TCKT-0093,Finance,Payment Failure,2024-11-03,Unresolved
TCKT-0094,Sales,Lead Assignment Problem,2025-01-17,Resolved
TCKT-0095,Operations,Order Delay,2025-01-24,Resolved
TCKT-0096,HR,Payslip Not Accessible,2024-12-06,Resolved
TCKT-0097,IT,Password Reset,2025-05-10,Resolved
TCKT-0098,Finance,Payment Failure,2025-08-08,Unresolved
TCKT-0099,HR,Profile Update Request,2024-11-09,Resolved
TCKT-0100,HR,Leave Balance Issue,2025-04-04,Resolved
